# x, cp_bottom, cp_top
9.999999999999999547e-07 nan nan
1.010199999999999813e-02 3.320875607591521117e+00 -3.916123390470309218e+00
2.020299999999999874e-02 1.891594856573548977e+00 -2.464146185727418725e+00
3.030399999999999761e-02 1.333678655786663558e+00 -1.908330062923039527e+00
4.040499999999999647e-02 1.025729887352246461e+00 -1.611446229236998207e+00
5.050599999999999534e-02 8.266997366659263324e-01 -1.426348571340179117e+00
6.060699999999999421e-02 6.853000149682302311e-01 -1.300401424609968437e+00
7.070799999999999308e-02 5.784745070191359417e-01 -1.209500635678355529e+00
8.080899999999999195e-02 4.944452305122157831e-01 -1.140822497663392276e+00
9.090999999999999082e-02 4.260241018512527233e-01 -1.087437268640699894e+00
1.010109999999999897e-01 3.688113296311683609e-01 -1.044986623207082133e+00
1.111119999999999886e-01 3.202301934516700310e-01 -1.010297575240981072e+00
1.212129999999999874e-01 2.783862027887082924e-01 -9.813791380245218132e-01
1.313139999999999863e-01 2.417047975268553639e-01 -9.570929539082413395e-01
1.414149999999999852e-01 2.091532732416752083e-01 -9.364667297859432527e-01
1.515159999999999840e-01 1.801675157220641310e-01 -9.185323436721526402e-01
1.616169999999999829e-01 1.542544479888769970e-01 -9.026374811883692839e-01
1.717179999999999818e-01 1.308301888547367398e-01 -8.885227690192072370e-01
1.818189999999999806e-01 1.094182131772918343e-01 -8.759981938105352306e-01
1.919199999999999795e-01 8.981159945403494049e-02 -8.646923770231194073e-01
2.020209999999999784e-01 7.194176324759204988e-02 -8.541834666294720879e-01
2.121219999999999772e-01 5.564440449885466045e-02 -8.442672603368654993e-01
2.222229999999999761e-01 4.062582235883360759e-02 -8.349771807865069562e-01
2.323239999999999750e-01 2.664213890659028472e-02 -8.263374313254587822e-01
2.424249999999999738e-01 1.364244623501220666e-02 -8.181669227971297698e-01
2.525259999999999727e-01 1.697462466359045408e-03 -8.101643637025901512e-01
2.626269999999999438e-01 -9.195630372128671404e-03 -8.021573907809178561e-01
2.727279999999999149e-01 -1.920416224256626947e-02 -7.942168566935825513e-01
2.828289999999999416e-01 -2.854697064361377823e-02 -7.865034065032481259e-01
2.929299999999999682e-01 -3.730650722207329295e-02 -7.790130406826285547e-01
3.030309999999999393e-01 -4.537267681694490129e-02 -7.714983314988270724e-01
3.131319999999999104e-01 -5.258548290441211748e-02 -7.636562744963757421e-01
3.232329999999999370e-01 -5.893624135245645324e-02 -7.553978110717445293e-01
3.333339999999999637e-01 -6.462043321362642700e-02 -7.469204109581062401e-01
3.434349999999999348e-01 -6.986950968336758105e-02 -7.384815371522845950e-01
3.535359999999999059e-01 -7.469637629296821402e-02 -7.300523126515514605e-01
3.636369999999999325e-01 -7.878396488967598366e-02 -7.211609793882109987e-01
3.737379999999999591e-01 -8.164378312506315183e-02 -7.111018380302425168e-01
3.838389999999999302e-01 -8.295774472091366203e-02 -6.993968199670177466e-01
3.939399999999999014e-01 -8.286497425584049559e-02 -6.861886869513746934e-01
4.040409999999999280e-01 -8.194351862528836961e-02 -6.723530311404630755e-01
4.141419999999999546e-01 -8.098048735194196546e-02 -6.590668869658975471e-01
4.242429999999999257e-01 -8.068426464622713290e-02 -6.471038961346631257e-01
4.343439999999998968e-01 -8.127058630507599801e-02 -6.367409194590263333e-01
4.444449999999999235e-01 -8.251560853659933858e-02 -6.276635633154930005e-01
4.545459999999999501e-01 -8.398993243429531130e-02 -6.192781648064111799e-01
4.646469999999999212e-01 -8.534770150709936054e-02 -6.110991114622259524e-01
4.747479999999998923e-01 -8.625796938717766871e-02 -6.032694642843545729e-01
4.848489999999999189e-01 -8.728975166724628476e-02 -5.952952618729059342e-01
4.949499999999999456e-01 -8.836030413918816162e-02 -5.876731343998000678e-01
5.050510000000000277e-01 -8.973610880853344351e-02 -5.801772902025601475e-01
5.151519999999999433e-01 -9.090269364352399073e-02 -5.732648034668657022e-01
5.252529999999999699e-01 -9.194954254669707172e-02 -5.664633115669159835e-01
5.353539999999999965e-01 -9.280357335347400038e-02 -5.596638013671464407e-01
5.454549999999999121e-01 -9.349305142271202573e-02 -5.528909304648714773e-01
5.555559999999999388e-01 -9.410329707892406415e-02 -5.462465448383506672e-01
5.656569999999999654e-01 -9.469272567255049289e-02 -5.398000296117984043e-01
5.757579999999999920e-01 -9.524341386055557024e-02 -5.335224924119614798e-01
5.858590000000000186e-01 -9.568280067950252210e-02 -5.273134257031579786e-01
5.959599999999999342e-01 -9.594986126597915277e-02 -5.210860782003468028e-01
6.060609999999999609e-01 -9.604457242151387408e-02 -5.148324120571570184e-01
6.161619999999999875e-01 -9.601942907143268258e-02 -5.086135240786049394e-01
6.262629999999999031e-01 -9.575265381068820414e-02 -5.027128775411080497e-01
6.363639999999999297e-01 -9.559390076326834684e-02 -4.966808699836524621e-01
6.464649999999999563e-01 -9.531967415728981319e-02 -4.906793931269353148e-01
6.565659999999999830e-01 -9.487850987886559118e-02 -4.846382013517591680e-01
6.666670000000000096e-01 -9.426147199668055698e-02 -4.785405522602959039e-01
6.767679999999999252e-01 -9.350542697845753981e-02 -4.724287557108970415e-01
6.868689999999999518e-01 -9.265203589328807610e-02 -4.663530624790477308e-01
6.969699999999999784e-01 -9.170349827955659450e-02 -4.603153626704346024e-01
7.070709999999998940e-01 -9.061891634392937878e-02 -4.542631210149903342e-01
7.171719999999999207e-01 -8.935411631837053559e-02 -4.481383673852885607e-01
7.272729999999999473e-01 -8.790370705403527385e-02 -4.419307741027096448e-01
7.373739999999999739e-01 -8.630118976688261334e-02 -4.356794116377442627e-01
7.474750000000000005e-01 -8.457666327308654974e-02 -4.294212911131205512e-01
7.575759999999999161e-01 -8.271781581791615157e-02 -4.231424113843342827e-01
7.676769999999999428e-01 -8.067809252141711074e-02 -4.167859831144258287e-01
7.777779999999999694e-01 -7.842405643852656816e-02 -4.103095746411933309e-01
7.878789999999998850e-01 -7.596716684114568352e-02 -4.037252205831149965e-01
7.979799999999999116e-01 -7.334013470518996325e-02 -3.970729442090179528e-01
8.080809999999999382e-01 -7.054413976948081810e-02 -3.903574085849788045e-01
8.181819999999999649e-01 -6.753353741723644443e-02 -3.835273612179270764e-01
8.282829999999999915e-01 -6.426161769114502320e-02 -3.765281850744202075e-01
8.383839999999999071e-01 -6.072847883258380985e-02 -3.693599504341680273e-01
8.484849999999999337e-01 -5.696052465399903397e-02 -3.620568598044318076e-01
8.585859999999999603e-01 -5.294391362671635459e-02 -3.546102351627566929e-01
8.686869999999998759e-01 -4.861143708952708753e-02 -3.469496986522790927e-01
8.787879999999999026e-01 -4.391201042318981784e-02 -3.390207538520426667e-01
8.888889999999999292e-01 -3.885133724110745312e-02 -3.308354782844160624e-01
8.989899999999999558e-01 -3.341830317816896212e-02 -3.223950301411349084e-01
9.090909999999999824e-01 -2.751652355948419615e-02 -3.136098243733378421e-01
9.191919999999998980e-01 -2.104362533196590945e-02 -3.043815419956661383e-01
9.292929999999999247e-01 -1.396226149148072082e-02 -2.946891883028022185e-01
9.393939999999999513e-01 -6.160727327766402084e-03 -2.844521514225935022e-01
9.494949999999998669e-01 2.615319068310917316e-03 -2.734503837916058000e-01
9.595959999999998935e-01 1.259907384236158556e-02 -2.615042272904661846e-01
9.696969999999999201e-01 2.424008062474514169e-02 -2.482880593557035276e-01
9.797979999999999468e-01 3.853160412100531396e-02 -2.330488651473618944e-01
9.898989999999999734e-01 5.776682345812766961e-02 -2.142198177614398347e-01
1.000000000000000000e+00 nan nan
