# x, Cp
9.995066821070679453e-01 6.663667300588423936e-01
9.975353574356873310e-01 5.828826327339140523e-01
9.936004880107917048e-01 5.165920314500229704e-01
9.877176029643299771e-01 4.588096902655474096e-01
9.799099193559461796e-01 4.114681573561704830e-01
9.702082505458512474e-01 3.728171400021883519e-01
9.586508845885677310e-01 3.406124861712196417e-01
9.452834331274707624e-01 3.131829779785344492e-01
9.301586513864696926e-01 2.893820865549457944e-01
9.133362299692406872e-01 2.684122832843089945e-01
8.948825592876841206e-01 2.496923046046394257e-01
8.748704675493002014e-01 2.327741579530656635e-01
8.533789333375250141e-01 2.172939507307822815e-01
8.304927739193446179e-01 2.029434799785329036e-01
8.063023105102906651e-01 1.894544184328237346e-01
7.809030118178674762e-01 1.765902989480891971e-01
7.543951172701779395e-01 1.641434966393838790e-01
7.268832414166970235e-01 1.519355731653216912e-01
6.984759610624375892e-01 1.398200611863572584e-01
6.692853867649063426e-01 1.276872586198527504e-01
6.394267203849505199e-01 1.154710197054770182e-01
6.090178004376447518e-01 1.031580068123391092e-01
5.781786370375072703e-01 9.080061432020558598e-02
5.470309382734044323e-01 7.853630828129298802e-02
5.156976298823282567e-01 6.662006363604100478e-02
4.843023701176716322e-01 5.548931405451751342e-02
4.529690617265955677e-01 4.593761360279469130e-02
4.218213629624927297e-01 4.001976275563168262e-02
3.909821995623550817e-01 3.775845107079933705e-02
3.605732796150493691e-01 3.302427600789115125e-02
3.307146132350936574e-01 2.497970609946587039e-02
3.015240389375622998e-01 1.590776273390093198e-02
2.731167585833029765e-01 7.166440429173581705e-03
2.456048827298219495e-01 -6.893016226072745667e-05
2.190969881821325516e-01 -4.555538519640967010e-03
1.936976894897093349e-01 -4.862818128420487440e-03
1.695072260806554099e-01 7.246391719583078483e-04
1.466210666624749026e-01 1.430951495909427162e-02
1.251295324506997153e-01 3.849818701149143596e-02
1.051174407123157961e-01 7.652289720354632507e-02
8.666377003075939611e-02 1.323262884523499494e-01
6.984134861353030743e-02 2.104813457295409140e-01
5.471656687252918205e-02 3.156330942188816380e-01
4.134911541143224123e-02 4.507878528469730917e-01
2.979174945414872488e-02 6.132900150507141213e-01
2.009008064405382044e-02 7.874375397380116715e-01
1.228239703567005070e-02 9.358152909194585867e-01
6.399511989208350737e-03 9.999923051275251273e-01
2.464642564312641282e-03 9.254053453370169047e-01
4.933178929321102579e-04 6.991832934341301042e-01
4.933178929321102579e-04 3.569813522161080499e-01
2.464642564312641282e-03 -4.816619727934878803e-02
6.399511989208350737e-03 -4.475046778649414136e-01
1.228239703567005070e-02 -7.986867234894232670e-01
2.009008064405382044e-02 -1.088177942111270724e+00
2.979174945414872488e-02 -1.319362496044210520e+00
4.134911541143224123e-02 -1.501646460133357230e+00
5.471656687252918205e-02 -1.644551398452518853e+00
6.984134861353030743e-02 -1.755607128740408029e+00
8.666377003075939611e-02 -1.840110368427795073e+00
1.051174407123157961e-01 -1.901552534642093839e+00
1.251295324506997153e-01 -1.942177305908765916e+00
1.466210666624749026e-01 -1.963473132789951947e+00
1.695072260806554099e-01 -1.966549200781258389e+00
1.936976894897093349e-01 -1.952393453586850125e+00
2.190969881821325516e-01 -1.922025340604741395e+00
2.456048827298219495e-01 -1.876557580910521494e+00
2.731167585833029765e-01 -1.817177016885904273e+00
3.015240389375622998e-01 -1.745040217155878093e+00
3.307146132350936574e-01 -1.661026532922103893e+00
3.605732796150493691e-01 -1.564986362691147104e+00
3.909821995623550817e-01 -1.452708544464924145e+00
4.218213629624927297e-01 -1.338874628738156769e+00
4.529690617265955677e-01 -1.235674663398301565e+00
4.843023701176716322e-01 -1.140741296648234204e+00
5.156976298823282567e-01 -1.050990252783699397e+00
5.470309382734044323e-01 -9.653125876299122332e-01
5.781786370375072703e-01 -8.831309118269949909e-01
6.090178004376447518e-01 -8.040548055320950738e-01
6.394267203849505199e-01 -7.277643265036439768e-01
6.692853867649063426e-01 -6.539659503996921863e-01
6.984759610624375892e-01 -5.823769282495849797e-01
7.268832414166970235e-01 -5.127218958341355215e-01
7.543951172701779395e-01 -4.447347075616627787e-01
7.809030118178674762e-01 -3.781620521111541677e-01
8.063023105102906651e-01 -3.127670100100610195e-01
8.304927739193446179e-01 -2.483315135152104336e-01
8.533789333375250141e-01 -1.846571202768048092e-01
8.748704675493002014e-01 -1.215638137477745850e-01
8.948825592876841206e-01 -5.888679434898747012e-02
9.133362299692406872e-01 3.528528435020050757e-03
9.301586513864696926e-01 6.583294235361158986e-02
9.452834331274707624e-01 1.281811602948302875e-01
9.586508845885677310e-01 1.907439420767581550e-01
9.702082505458512474e-01 2.537441819946597565e-01
9.799099193559461796e-01 3.176121931077892091e-01
9.877176029643299771e-01 3.836677087390577556e-01
9.936004880107917048e-01 4.566134231764387152e-01
9.975353574356873310e-01 5.481218680903707785e-01
9.995066821070679453e-01 6.663667300588445030e-01
