# panels, cl, cmac, cd
5.520000000000000000e+02 5.296451022986709001e-01 -1.037264744233697966e-01 -9.003593499293370160e-04
5.620000000000000000e+02 5.295027584144301747e-01 -1.037295609878891994e-01 -8.965835664967295761e-04
5.720000000000000000e+02 5.293618347398506563e-01 -1.037318124683009601e-01 -8.929428879016368479e-04
5.820000000000000000e+02 5.292223187175538746e-01 -1.037332841343783507e-01 -8.894301034146506225e-04
5.920000000000000000e+02 5.290841962942297583e-01 -1.037340270565082073e-01 -8.860384823917844118e-04
6.020000000000000000e+02 5.289474455731700830e-01 -1.037340873946038800e-01 -8.827617858059818353e-04
6.120000000000000000e+02 5.288120481235490944e-01 -1.037335086011930696e-01 -8.795942499886302010e-04
6.220000000000000000e+02 5.286779889007496847e-01 -1.037323316409335811e-01 -8.765304692752547621e-04
6.320000000000000000e+02 5.285452520738976867e-01 -1.037305945349346892e-01 -8.735653660421767962e-04
6.420000000000000000e+02 5.284138211863572687e-01 -1.037283326110253756e-01 -8.706941685427145973e-04
6.520000000000000000e+02 5.282836778110093778e-01 -1.037255784831475902e-01 -8.679123966949500897e-04
6.620000000000000000e+02 5.281547987911604514e-01 -1.037223617938313469e-01 -8.652158981353171106e-04
6.720000000000000000e+02 5.280271670030276532e-01 -1.037187111666030837e-01 -8.626007860178397249e-04
6.820000000000000000e+02 5.279007657635407247e-01 -1.037146534064244396e-01 -8.600633870033897246e-04
6.920000000000000000e+02 5.277755781463769891e-01 -1.037102135249825391e-01 -8.576002287649451671e-04
7.020000000000000000e+02 5.276515870607827452e-01 -1.037054148814669507e-01 -8.552080280194180456e-04
7.120000000000000000e+02 5.275287719211433357e-01 -1.037002787486280692e-01 -8.528836997182716317e-04
7.220000000000000000e+02 5.274071129573306704e-01 -1.036948251511532471e-01 -8.506243740225226087e-04
7.320000000000000000e+02 5.272865938239270633e-01 -1.036890733800434478e-01 -8.484273319805604599e-04
7.420000000000000000e+02 5.271671981335658286e-01 -1.036830414993512861e-01 -8.462899900669759549e-04
7.520000000000000000e+02 5.270489095052355299e-01 -1.036767464374524772e-01 -8.442098931319478011e-04
7.620000000000000000e+02 5.269317110676419169e-01 -1.036702039809148101e-01 -8.421847095503741300e-04
7.720000000000000000e+02 5.268155827939144942e-01 -1.036634284094206937e-01 -8.402122568481376055e-04
7.820000000000000000e+02 5.267005083679083821e-01 -1.036564337051558288e-01 -8.382904820513475139e-04
7.920000000000000000e+02 5.265864724029025723e-01 -1.036492331363745856e-01 -8.364174258735656859e-04
8.020000000000000000e+02 5.264734596036486636e-01 -1.036418391726239840e-01 -8.345912179812018609e-04
8.120000000000000000e+02 5.263614547926310783e-01 -1.036342635407037777e-01 -8.328100729216511566e-04
8.220000000000000000e+02 5.262504412873204584e-01 -1.036265170033620481e-01 -8.310722947902177095e-04
8.320000000000000000e+02 5.261404019172820634e-01 -1.036186095815766622e-01 -8.293762984567436356e-04
8.420000000000000000e+02 5.260313224384912667e-01 -1.036105511559943515e-01 -8.277205732621356745e-04
8.520000000000000000e+02 5.259231887737346733e-01 -1.036023510402574732e-01 -8.261036711859343204e-04
8.620000000000000000e+02 5.258159869930140173e-01 -1.035940180132914751e-01 -8.245242044260634069e-04
8.720000000000000000e+02 5.257097031587619762e-01 -1.035855603266093161e-01 -8.229808434482676748e-04
8.820000000000000000e+02 5.256043212346508398e-01 -1.035769853905977866e-01 -8.214723327978458792e-04
8.920000000000000000e+02 5.254998273156340494e-01 -1.035683005108486432e-01 -8.199974894025685362e-04
9.020000000000000000e+02 5.253962085467536181e-01 -1.035595127263509302e-01 -8.185551762289553640e-04
9.120000000000000000e+02 5.252934522299664843e-01 -1.035506286847351354e-01 -8.171442995496023621e-04
9.220000000000000000e+02 5.251915458317965024e-01 -1.035416546669495202e-01 -8.157638074741958541e-04
9.320000000000000000e+02 5.250904761958552491e-01 -1.035325964784150204e-01 -8.144126920604272298e-04
9.420000000000000000e+02 5.249902292668617854e-01 -1.035234594287281068e-01 -8.130900070328009191e-04
9.520000000000000000e+02 5.248907932482221872e-01 -1.035142488735029120e-01 -8.117948483865067852e-04
9.620000000000000000e+02 5.247921566042962338e-01 -1.035049698952482250e-01 -8.105263435731073539e-04
9.720000000000000000e+02 5.246943079594629245e-01 -1.034956273034186025e-01 -8.092836506615113746e-04
9.820000000000000000e+02 5.245972360667436885e-01 -1.034862256449795986e-01 -8.080659575160287688e-04
9.920000000000000000e+02 5.245009283367646491e-01 -1.034767689759649723e-01 -8.068724908426205995e-04
